Country,Average Power Line,Average Schools,Average Supermarkets,Average Public Roads,Average Hospitals
Ukraine,2.0,0.4,1.2,31.4,1.0
UAE,1.8,5.4,4.8,44.8,0.6
Argentina,2.0,10.0,9.0,8.6,3.6
Austria,3.4,15.6,10.2,45.0,1.0
Australia,8.0,16.0,10.8,69.8,1.8
Bermuda,0.0,2.8,0.8,15.0,0.2
Bahamas,0.8,0.8,2.0,13.6,0.2
Brazil,1.8,3.8,2.8,18.4,0.6
Belarus,2.2,12.0,1.2,24.4,1.0
Canada,2.4,20.8,11.0,11.4,0.4
Chile,3.4,95.8,14.8,32.0,1.4
Colombia,7.2,25.4,27.6,15.8,3.6
Curacao,0.0,16.2,7.8,17.0,0.6
Czechia,9.8,5.4,1.6,9.0,0.4
Denmark,1.8,18.4,14.0,69.2,2.8
Germany,1.8,21.2,9.6,53.4,0.8
Switzerland,2.6,9.2,8.0,109.0,0.4
Estonia,1.2,11.0,5.6,25.4,0.4
Faroe Islands,0.0,2.0,1.8,0.0,0.0
Finland,1.6,3.6,1.0,24.6,0.2
Spain,4.2,3.4,2.4,14.2,0.0
Croatia,1.4,0.6,0.6,8.0,0.0
France,1.6,3.0,0.4,34.0,0.4
Guernsey,0.0,7.6,2.6,111.4,0.4
Iceland,0.0,13.6,8.6,35.6,1.8
Italy,5.0,3.0,2.0,50.2,0.0
Jamaica,1.2,3.8,0.4,6.2,0.0
Japan,5.2,8.4,4.0,299.6,1.0
Kuwait,3.6,3.6,2.6,59.8,1.0
Kazakhstan,3.4,21.8,10.8,2.6,7.0
Latvia,3.6,4.4,3.0,39.0,0.4
Liechtenstein,3.4,3.4,2.4,34.2,0.2
Lithuania,1.4,6.2,4.0,4.8,0.0
Luxembourg,2.8,13.8,6.4,24.0,0.2
Mexico,2.2,6.2,1.6,10.2,0.8
New Caledonia,0.8,19.8,6.0,8.2,0.4
Netherlands,1.0,36.2,24.6,232.0,0.4
New Zealand,0.6,8.6,3.2,27.2,0.4
Norway,5.2,2.6,2.0,13.0,0.0
Portugal,4.0,31.6,20.8,17.8,2.2
Qatar,0.4,3.4,6.6,58.8,4.6
Saudi Arabia,1.0,2.0,2.2,9.0,1.4
Singapore,0.0,16.6,13.6,82.6,0.8
Kosovo,1.8,23.2,36.4,5.2,8.6
Slovakia,2.4,12.6,5.0,11.0,0.2
Slovenia,1.2,1.2,0.8,72.0,0.0
South Africa,1.0,3.6,2.6,7.6,0.4
Uruguay,0.4,6.2,1.2,4.2,0.2
