WHO Country Name,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Argentina,0.0,0.0,0.0,0.0,0.0,0.0,91.6666666666667,100.0,100.0,97.2,0.0,0.0
Australia,96.25510224428571,95.74081652,96.33928609375,96.45462214882353,95.07040840464286,95.35389635045455,96.48306913259259,89.18571428571428,93.84285714285713,97.3643567874911,0.0,0.0
Austria,98.06565446252465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bahamas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,99.0,40.0,0.0
Bahrain,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.47031963470313,0.0,0.0
Bangladesh,0.0,28.999999999999975,0.0,85.4,91.24999999999999,82.89583333333333,70.6352459,62.16641299444445,53.8194444425,0.0,0.0,0.0
Belgium,92.00711097560975,0.0,0.0,93.97640791333333,95.930365295,96.81506849,96.49362477,97.02625570500001,95.82762557,94.64231354666667,0.0,0.0
Bosnia and Herzegovina,83.265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brazil,0.0,0.0,61.7,0.0,0.0,0.0,0.0,0.0,92.41291585127199,91.66443506025337,0.0,0.0
Bulgaria,95.87074829931973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Canada,0.0,0.0,0.0,81.42324043457586,0.0,93.99520547945205,93.826666668,96.908333335,95.96031746190476,96.84210526315789,0.0,0.0
Chile,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,95.90131362889983,0.0,0.0
Colombia,68.71232876712324,59.54337899543376,71.07876712328768,85.08359969558599,89.23879452054796,92.66518264840182,90.06,0.0,0.0,0.0,0.0,0.0
Costa Rica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0
Croatia,95.9235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.25,0.0,0.0,0.0
Cyprus,91.50666666666666,0.0,0.0,0.0,0.0,0.0,93.9,97.0666666666666,92.7,0.0,0.0,0.0
Czechia,94.9263137037037,0.0,0.0,96.74794578598483,97.24406107226105,96.94459271822703,98.62256150793648,99.0174838849135,98.82646295015844,96.72374429199999,0.0,0.0
Denmark,91.172875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Estonia,96.49305000000001,0.0,0.0,98.81088279916665,97.79299847600001,97.55898021333333,99.46797207,99.34703196400001,99.32572298400001,99.61933028944445,0.0,0.0
Finland,96.35399,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.96575342,0.0,0.0
France,94.91092983770287,0.0,0.0,0.0,0.0,93.99543379,0.0,0.0,0.0,0.0,0.0,0.0
Georgia,0.0,0.0,0.0,0.0,76.0,0.0,0.0,97.0,0.0,0.0,0.0,0.0
Germany,97.59598102783367,0.0,0.0,98.76712328714287,100.0,93.42465753375,99.6291959407143,95.835616438,99.97574200875,100.0,0.0,0.0
Ghana,0.0,0.0,80.3,86.6142857142857,66.3666666666666,81.6,0.0,0.0,0.0,0.0,0.0,0.0
Greece,90.0821,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.03652968,0.0,0.0
Hungary,96.85930526315789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Iceland,91.57916666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
India,0.0,0.0,94.2,0.0,0.0,0.0,84.88865563107143,85.7977393371,86.59538504772037,88.80244261212121,0.0,0.0
Ireland,87.0777142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Israel,0.0,0.0,88.29560606060606,90.16984848484849,91.2315873015873,87.6652380952381,0.0,0.0,0.0,0.0,0.0,0.0
Italy,94.00714665321496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.96803653,0.0,0.0
Jamaica,0.0,0.0,0.0,0.0,56.665,53.33,0.0,0.0,0.0,0.0,0.0,0.0
Jordan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.8999999999999,94.00833333333333,89.04702380952381,0.0,0.0
Kenya,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,50.0,0.0,0.0
Kuwait,0.0,0.0,0.0,0.0,0.0,90.35545454545455,61.821666666666665,90.75291666666665,0.0,73.87041666666664,90.47083333333333,0.0
Latvia,82.67125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lebanon,0.0,0.0,93.972602739726,0.0,68.81083333333332,59.0,34.0,0.0,0.0,0.0,0.0,0.0
Liechtenstein,96.164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lithuania,97.12233333333333,0.0,0.0,96.55572203187498,97.20953830527775,93.0705648573148,94.0772996361111,0.0,0.0,0.0,0.0,0.0
Luxembourg,95.56183333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Madagascar,0.0,0.0,0.0,0.0,0.0,50.0,0.0,50.0,0.0,50.0,50.0,0.0
Malta,90.22833333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.16666666666667,0.0,0.0,0.0
Mauritius,0.0,0.0,0.0,0.0,0.0,33.4199999999999,100.0,0.0,0.0,75.0,0.0,0.0
Mexico,88.27473364124808,79.96255707732115,86.22123111275044,87.96327244585235,83.01031625539488,77.99313879796422,88.09763016714479,69.7640612413043,87.8971573471068,0.0,0.0,0.0
Monaco,0.0,0.0,0.0,85.65,0.0,0.0,95.475,95.0,96.5,98.5,0.0,0.0
Mongolia,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Montenegro,95.89025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Morocco,0.0,0.0,0.0,0.0,0.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0
Myanmar,0.0,0.0,0.0,0.0,35.57692305,100.0,89.4230769230769,89.4230769,0.0,0.0,0.0,0.0
Nepal,0.0,0.0,0.0,0.0,0.0,0.0,17.0,53.764285714285705,72.35277777777775,78.7340909090909,66.23571428571425,0.0
Netherlands,89.47738431372548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.89041096,0.0,0.0
New Zealand,0.0,0.0,97.31923076923076,0.0,89.0050505050505,90.02696078431372,87.39646464646465,64.63461538461539,0.0,0.0,0.0,0.0
North Macedonia,86.4555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Norway,93.74582234432235,0.0,0.0,0.0,99.17808219,99.86301370000001,98.592896174,95.84311806999999,97.78253424500001,96.58168442333334,0.0,0.0
Pakistan,0.0,0.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Peru,81.7333333599999,48.26666664,62.5,87.96666666666665,67.48958333333327,87.38333333333331,77.20833333249999,19.9,47.0,0.0,0.0,0.0
Poland,90.22596250000001,0.0,0.0,97.80821918,96.16438356,90.1369863,0.0,0.0,0.0,0.0,0.0,0.0
Portugal,93.25132170542635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Qatar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.0,97.0,97.0,98.0,96.0
Republic of Korea,95.175,94.2625,97.2375,97.325,95.20384615384616,89.3,94.89999999999999,89.87058823529412,86.84117647058824,89.08235294117648,88.84117647058824,0.0
Romania,86.01416666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Saudi Arabia,0.0,0.0,0.0,0.0,92.8,96.0,94.0,94.0,0.0,0.0,0.0,0.0
Senegal,0.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0
Serbia,95.465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Singapore,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0
Slovakia,96.75389423076923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Slovenia,95.80154545454546,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
South Africa,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0
Spain,94.26104104925912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sweden,92.72316025641024,0.0,0.0,99.29223744000001,95.747716895,96.83028919333333,94.05864197666666,95.93378995399998,99.15144596666666,97.38203957333333,0.0,0.0
Switzerland,99.2511142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Thailand,0.0,0.0,0.0,0.0,92.63278388278387,13.2305936,61.17481250950978,37.94084607282606,0.0,88.97949308755761,0.0,0.0
Trinidad and Tobago,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,0.0,0.0
Turkey,89.86616875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.87924911222223,0.0,0.0
Ukraine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.3,100.0,0.0,0.0
United Kingdom,89.4817471042471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Uruguay,0.0,0.0,0.0,0.0,48.2191780821917,0.0,0.0,0.0,0.0,0.0,0.0,0.0
