,Gini
0,0.0
1,0.09499999999999997
2,0.16700000000000004
3,0.23099999999999998
4,0.2744
5,0.37460000000000004
6,0.4162
7,0.475
8,0.519
9,0.539
10,0.5664
11,0.622
12,0.6517999999999999
13,0.6668000000000001
14,0.6974
15,0.7724
16,0.8272
17,0.8320000000000001
18,0.8706
19,0.876
20,0.8858
21,0.9292
22,0.9624
23,0.9974000000000001
24,1.0296
25,1.0458
26,1.0308
27,1.085
28,1.1872
29,1.2068
30,1.2256
31,1.1894
32,1.2128
33,1.2224
34,1.2414
35,1.2770000000000001
36,1.3144
37,1.293
38,1.3394
39,1.3086
40,1.3682
41,1.4376
42,1.4278
43,1.464
44,1.4962
45,1.5288
46,1.5208
47,1.5512000000000001
48,1.5710000000000002
49,1.581
50,1.5768
51,1.6221999999999999
52,1.6614
53,1.6472
54,1.6602000000000001
55,1.6989999999999998
56,1.7144
57,1.742
58,1.7444000000000002
59,1.7658
60,1.7814
61,1.8122
62,1.8452000000000002
63,1.8446
64,1.8368
65,1.8488
66,1.8462
67,1.8466
68,1.8606
69,1.8774
70,1.8961999999999999
71,1.885
72,1.9012
73,1.9098000000000002
74,1.9358
75,1.9506000000000001
76,1.996
77,2.002
78,2.0292000000000003
79,2.0504
80,2.0842
81,2.0872
82,2.1
83,2.1056
84,2.0514
85,2.083
86,2.0994
87,2.1324
88,2.1668000000000003
89,2.2056
90,2.1976
91,2.1944
92,2.223
93,2.2398
94,2.2692
95,2.2522
96,2.234
97,2.239
98,2.2584
99,2.311
